,Image type,Image index,Distinctiveness type,RE type,Distinctiveness percentile,RE percentile
571,Filler,7989,N/A,N/A,53.55,48.54
572,Filler,4699,N/A,N/A,73.3,51.0
573,Filler,1818,N/A,N/A,40.17,71.35
574,Filler,6440,N/A,N/A,72.94,65.5
575,Filler,707,N/A,N/A,1.33,2.38
576,Filler,13,N/A,N/A,84.01,25.51
577,Filler,728,N/A,N/A,42.39,85.96
578,Filler,4534,N/A,N/A,1.23,23.58
579,Filler,999,N/A,N/A,9.35,3.0
580,Filler,2516,N/A,N/A,55.39,83.43
581,Filler,6182,N/A,N/A,9.96,24.26
582,Filler,2603,N/A,N/A,94.04,94.56
583,Filler,4764,N/A,N/A,38.84,45.67
584,Filler,3752,N/A,N/A,66.44,12.81
585,Filler,3876,N/A,N/A,51.99,41.18
586,Filler,3996,N/A,N/A,77.0,48.99
587,Filler,1786,N/A,N/A,97.07,89.85
588,Filler,731,N/A,N/A,86.35,90.33
589,Filler,3355,N/A,N/A,84.28,60.3
590,Filler,117,N/A,N/A,89.62,22.92
