,sub,condition,hit,fa,dprime,response_type,probe_hit,probe_fa,probe_dprime,duration,property,Dist,RE
90,a6af2a1e-3ffc-4337-a0e7-33fd28d45dc6,Dist_Large_RE_Small_2,,,,probe,0.2,0.118,0.343,50.0,Dist_Large_RE_Small,Large,Small
91,a6af2a1e-3ffc-4337-a0e7-33fd28d45dc6,Dist_Small_RE_Large_10,,,,probe,0.984375,0.118,3.339,167.0,Dist_Small_RE_Large,Small,Large
92,a809a141-4862-4ef9-9206-d64dc894c78f,,0.025,0.025,0.0,image,,,,,,,
93,a809a141-4862-4ef9-9206-d64dc894c78f,Dist_Small_RE_Large_10,0.688,0.015625,2.644,image,,,,167.0,Dist_Small_RE_Large,Small,Large
94,a809a141-4862-4ef9-9206-d64dc894c78f,Dist_Large_RE_Large_10,0.938,0.062,3.076,image,,,,167.0,Dist_Large_RE_Large,Large,Large
95,a809a141-4862-4ef9-9206-d64dc894c78f,Dist_Large_RE_Small_2,0.625,0.188,1.204,image,,,,50.0,Dist_Large_RE_Small,Large,Small
96,a809a141-4862-4ef9-9206-d64dc894c78f,Dist_Large_RE_Small_5,0.688,0.25,1.165,image,,,,84.0,Dist_Large_RE_Small,Large,Small
97,a809a141-4862-4ef9-9206-d64dc894c78f,Dist_Small_RE_Large_5,0.625,0.015625,2.473,image,,,,84.0,Dist_Small_RE_Large,Small,Large
98,a809a141-4862-4ef9-9206-d64dc894c78f,Dist_Small_RE_Small_5,0.312,0.015625,1.664,image,,,,84.0,Dist_Small_RE_Small,Small,Small
99,a809a141-4862-4ef9-9206-d64dc894c78f,Dist_Small_RE_Small_10,0.438,0.015625,1.998,image,,,,167.0,Dist_Small_RE_Small,Small,Small
100,a809a141-4862-4ef9-9206-d64dc894c78f,Dist_Small_RE_Large_2,0.25,0.125,0.476,image,,,,50.0,Dist_Small_RE_Large,Small,Large
101,a809a141-4862-4ef9-9206-d64dc894c78f,Dist_Small_RE_Small_2,0.188,0.125,0.265,image,,,,50.0,Dist_Small_RE_Small,Small,Small
102,a809a141-4862-4ef9-9206-d64dc894c78f,Dist_Large_RE_Large_2,0.5,0.125,1.15,image,,,,50.0,Dist_Large_RE_Large,Large,Large
103,a809a141-4862-4ef9-9206-d64dc894c78f,Dist_Large_RE_Small_10,0.625,0.125,1.469,image,,,,167.0,Dist_Large_RE_Small,Large,Small
104,a809a141-4862-4ef9-9206-d64dc894c78f,Dist_Large_RE_Large_5,0.438,0.062,1.382,image,,,,84.0,Dist_Large_RE_Large,Large,Large
105,a809a141-4862-4ef9-9206-d64dc894c78f,,,,,probe,0.025,0.025,0.0,,,,
106,a809a141-4862-4ef9-9206-d64dc894c78f,Dist_Small_RE_Large_10,,,,probe,0.984375,0.045,3.849,167.0,Dist_Small_RE_Large,Small,Large
107,a809a141-4862-4ef9-9206-d64dc894c78f,Dist_Large_RE_Large_10,,,,probe,0.769,0.105,1.989,167.0,Dist_Large_RE_Large,Large,Large
108,a809a141-4862-4ef9-9206-d64dc894c78f,Dist_Large_RE_Small_2,,,,probe,0.25,0.015625,1.479,50.0,Dist_Large_RE_Small,Large,Small
109,a809a141-4862-4ef9-9206-d64dc894c78f,Dist_Large_RE_Small_5,,,,probe,0.286,0.056,1.024,84.0,Dist_Large_RE_Small,Large,Small
110,a809a141-4862-4ef9-9206-d64dc894c78f,Dist_Small_RE_Large_5,,,,probe,0.917,0.15,2.422,84.0,Dist_Small_RE_Large,Small,Large
111,a809a141-4862-4ef9-9206-d64dc894c78f,Dist_Small_RE_Small_5,,,,probe,0.846,0.105,2.273,84.0,Dist_Small_RE_Small,Small,Small
112,a809a141-4862-4ef9-9206-d64dc894c78f,Dist_Small_RE_Small_10,,,,probe,0.984375,0.056,3.743,167.0,Dist_Small_RE_Small,Small,Small
113,a809a141-4862-4ef9-9206-d64dc894c78f,Dist_Small_RE_Large_2,,,,probe,0.75,0.015625,2.828,50.0,Dist_Small_RE_Large,Small,Large
114,a809a141-4862-4ef9-9206-d64dc894c78f,Dist_Small_RE_Small_2,,,,probe,0.571,0.015625,2.333,50.0,Dist_Small_RE_Small,Small,Small
115,a809a141-4862-4ef9-9206-d64dc894c78f,Dist_Large_RE_Large_2,,,,probe,0.417,0.015625,1.944,50.0,Dist_Large_RE_Large,Large,Large
116,a809a141-4862-4ef9-9206-d64dc894c78f,Dist_Large_RE_Small_10,,,,probe,0.333,0.015625,1.722,167.0,Dist_Large_RE_Small,Large,Small
117,a809a141-4862-4ef9-9206-d64dc894c78f,Dist_Large_RE_Large_5,,,,probe,0.091,0.015625,0.819,84.0,Dist_Large_RE_Large,Large,Large
118,c89203fd-8e26-4753-9bea-d04e3141df7e,,0.02631578947368421,0.02631578947368421,0.0,image,,,,,,,
119,c89203fd-8e26-4753-9bea-d04e3141df7e,Dist_Small_RE_Large_10,0.688,0.375,0.809,image,,,,167.0,Dist_Small_RE_Large,Small,Large
120,c89203fd-8e26-4753-9bea-d04e3141df7e,Dist_Large_RE_Small_10,0.812,0.375,1.204,image,,,,167.0,Dist_Large_RE_Small,Large,Small
121,c89203fd-8e26-4753-9bea-d04e3141df7e,Dist_Small_RE_Small_10,0.688,0.375,0.809,image,,,,167.0,Dist_Small_RE_Small,Small,Small
122,c89203fd-8e26-4753-9bea-d04e3141df7e,Dist_Large_RE_Small_2,0.5,0.188,0.885,image,,,,50.0,Dist_Large_RE_Small,Large,Small
123,c89203fd-8e26-4753-9bea-d04e3141df7e,Dist_Large_RE_Small_5,0.938,0.25,2.213,image,,,,84.0,Dist_Large_RE_Small,Large,Small
124,c89203fd-8e26-4753-9bea-d04e3141df7e,Dist_Large_RE_Large_10,0.938,0.125,2.689,image,,,,167.0,Dist_Large_RE_Large,Large,Large
125,c89203fd-8e26-4753-9bea-d04e3141df7e,Dist_Small_RE_Large_5,0.312,0.188,0.395,image,,,,84.0,Dist_Small_RE_Large,Small,Large
126,c89203fd-8e26-4753-9bea-d04e3141df7e,Dist_Large_RE_Large_2,0.375,0.125,0.832,image,,,,50.0,Dist_Large_RE_Large,Large,Large
127,c89203fd-8e26-4753-9bea-d04e3141df7e,Dist_Small_RE_Large_2,0.5,0.062,1.538,image,,,,50.0,Dist_Small_RE_Large,Small,Large
128,c89203fd-8e26-4753-9bea-d04e3141df7e,Dist_Large_RE_Large_5,0.875,0.375,1.469,image,,,,84.0,Dist_Large_RE_Large,Large,Large
129,c89203fd-8e26-4753-9bea-d04e3141df7e,Dist_Small_RE_Small_2,0.375,0.438,-0.163,image,,,,50.0,Dist_Small_RE_Small,Small,Small
130,c89203fd-8e26-4753-9bea-d04e3141df7e,Dist_Small_RE_Small_5,0.5,0.188,0.885,image,,,,84.0,Dist_Small_RE_Small,Small,Small
131,c89203fd-8e26-4753-9bea-d04e3141df7e,,,,,probe,0.025,0.025,0.0,,,,
132,c89203fd-8e26-4753-9bea-d04e3141df7e,Dist_Small_RE_Large_10,,,,probe,0.984375,0.1,3.435,167.0,Dist_Small_RE_Large,Small,Large
133,c89203fd-8e26-4753-9bea-d04e3141df7e,Dist_Large_RE_Small_10,,,,probe,0.4,0.136,0.845,167.0,Dist_Large_RE_Small,Large,Small
134,c89203fd-8e26-4753-9bea-d04e3141df7e,Dist_Small_RE_Small_10,,,,probe,0.917,0.05,3.03,167.0,Dist_Small_RE_Small,Small,Small
135,c89203fd-8e26-4753-9bea-d04e3141df7e,Dist_Large_RE_Small_2,,,,probe,0.467,0.118,1.102,50.0,Dist_Large_RE_Small,Large,Small
136,c89203fd-8e26-4753-9bea-d04e3141df7e,Dist_Large_RE_Small_5,,,,probe,0.357,0.056,1.223,84.0,Dist_Large_RE_Small,Large,Small
137,c89203fd-8e26-4753-9bea-d04e3141df7e,Dist_Large_RE_Large_10,,,,probe,0.643,0.015625,2.52,167.0,Dist_Large_RE_Large,Large,Large
138,c89203fd-8e26-4753-9bea-d04e3141df7e,Dist_Small_RE_Large_5,,,,probe,0.545,0.048,1.778,84.0,Dist_Small_RE_Large,Small,Large
139,c89203fd-8e26-4753-9bea-d04e3141df7e,Dist_Large_RE_Large_2,,,,probe,0.154,0.053,0.597,50.0,Dist_Large_RE_Large,Large,Large
140,c89203fd-8e26-4753-9bea-d04e3141df7e,Dist_Small_RE_Large_2,,,,probe,0.727,0.048,2.268,50.0,Dist_Small_RE_Large,Small,Large
141,c89203fd-8e26-4753-9bea-d04e3141df7e,Dist_Large_RE_Large_5,,,,probe,0.5,0.091,1.335,84.0,Dist_Large_RE_Large,Large,Large
